Model,Parameters,Layers,Residual Blocks,Conv Layers,Dense Layers,Bottlenecks,Pooling Layers,Normalization Layers,Recurrent Layers,Output Features,Training Dataset,RF25 Layer Number,RF25 Layer Name,Architecture,Crop Percentage,Family
efficientnet_em,6899496,340,0,64,1,0,0,64,0,1000,ImageNet-1K,29,blocks.3.2.conv_dw,efficientnet_em,0.882,efficientnet
efficientnet_es,5438392,262,0,49,1,0,0,49,0,1000,ImageNet-1K,20,blocks.3.1.conv_dw,efficientnet_es,0.875,efficientnet
efficientnet_es_pruned,5438392,262,0,49,1,0,0,49,0,1000,ImageNet-1K,20,blocks.3.1.conv_dw,efficientnet_es_pruned,0.875,efficientnet
efficientnet_lite0,4652008,257,0,49,1,0,0,49,0,1000,ImageNet-1K,26,blocks.4.0.conv_dw,efficientnet_lite0,0.875,efficientnet
efficientnetv2_rw_m,53236442,1056,0,263,1,0,0,169,0,1000,ImageNet-1K,99,blocks.4.6.conv_dw,efficientnetv2_rw_m,1.0,efficientnet
efficientnetv2_rw_s,23941296,700,0,172,1,0,0,112,0,1000,ImageNet-1K,63,blocks.4.2.conv_dw,efficientnetv2_rw_s,1.0,efficientnet
efficientnetv2_rw_t,13649388,671,0,165,1,0,0,107,0,1000,ImageNet-1K,61,blocks.4.2.conv_dw,efficientnetv2_rw_t,1.0,efficientnet
ens_adv_inception_resnet_v2,55843464,1008,0,244,1,0,5,204,0,1000,ImageNet-1K,183,repeat_1.18.branch1.2.conv,ens_adv_inception_resnet_v2,0.8975,inception_resnet
ese_vovnet19b_dw,6543080,169,0,41,1,0,3,23,0,1000,ImageNet-1K,25,stages.2.pool,ese_vovnet19b_dw,0.875,vovnet
ese_vovnet39b,24568936,239,0,43,1,0,3,39,0,1000,ImageNet-1K,23,stages.2.blocks.0.conv_mid.3.conv,ese_vovnet39b,0.875,vovnet
fbnetc_100,5572200,336,0,65,1,0,0,65,0,1000,ImageNet-1K,33,blocks.3.2.conv_dw,fbnetc_100,0.875,fbnet
fbnetv3_b,8598464,525,0,124,1,0,0,87,0,1000,ImageNet-1K,56,blocks.3.4.conv_dw,fbnetv3_b,0.95,fbnet
fbnetv3_d,10306272,574,0,135,1,0,0,96,0,1000,ImageNet-1K,70,blocks.4.1.conv_dw,fbnetv3_d,0.95,fbnet
fbnetv3_g,16623888,646,0,154,1,0,0,107,0,1000,ImageNet-1K,69,blocks.4.1.conv_dw,fbnetv3_g,0.95,fbnet
gc_efficientnetv2_rw_t,13677713,787,0,194,1,0,0,136,0,1000,ImageNet-1K,69,blocks.4.2.conv_dw,gc_efficientnetv2_rw_t,1.0,efficientnet
gcresnet33ts,19880698,349,0,68,1,10,0,48,0,1000,ImageNet-1K,44,stages.2.1.conv2_kxk.conv,gcresnet33ts,0.9,resnet
gcresnet50t,25897080,525,0,103,1,16,0,71,0,1000,ImageNet-1K,68,stages.2.3.conv2_kxk.conv,gcresnet50t,0.9,resnet
gcresnext26ts,10476600,286,0,55,1,8,1,39,0,1000,ImageNet-1K,39,stages.2.1.conv2_kxk.conv,gcresnext26ts,0.9,resnext
gcresnext50ts,15667320,526,0,103,1,16,1,71,0,1000,ImageNet-1K,63,stages.2.2.conv2_kxk.conv,gcresnext50ts,0.9,resnext
gcvit_base,90320836,755,0,49,125,0,5,71,31,1000,ImageNet-1K,41,stages.2.downsample.reduction,gcvit_base,0.875,gcvit
gcvit_small,51092173,755,0,49,125,0,5,71,31,1000,ImageNet-1K,41,stages.2.downsample.reduction,gcvit_small,0.875,gcvit
gcvit_tiny,28221974,755,0,49,125,0,5,71,31,1000,ImageNet-1K,41,stages.2.downsample.reduction,gcvit_tiny,0.875,gcvit
gcvit_xtiny,19981294,508,0,49,73,0,5,45,18,1000,ImageNet-1K,41,stages.2.downsample.reduction,gcvit_xtiny,0.875,gcvit
gcvit_xxtiny,11995428,394,0,49,49,0,5,33,12,1000,ImageNet-1K,41,stages.2.downsample.reduction,gcvit_xxtiny,0.875,gcvit
gernet_l,31078280,417,3,57,1,15,0,57,0,1000,ImageNet-1K,31,stages.3.0.conv2_kxk.conv,gernet_l,0.875,gernet
gernet_m,21142920,329,3,45,1,11,0,45,0,1000,ImageNet-1K,27,stages.2.5.conv2_kxk.conv,gernet_m,0.875,gernet
gernet_s,8173761,327,4,45,1,10,0,45,0,1000,ImageNet-1K,23,stages.2.3.conv2_kxk.conv,gernet_s,0.875,gernet
ghostnet_100,5182508,411,0,95,1,16,0,80,0,1000,ImageNet-1K,64,blocks.6.4.ghost2.cheap_operation.0,ghostnet_100,0.875,ghostnet
gluon_inception_v3,23834568,300,0,94,1,0,2,94,0,1000,ImageNet-1K,48,Mixed_6c.branch7x7dbl_2.conv,gluon_inception_v3,0.875,inception
gluon_resnet18_v1b,11689512,94,8,20,1,0,1,20,0,1000,ImageNet-1K,16,layer3.1.conv2,gluon_resnet18_v1b,0.875,resnet
gluon_resnet34_v1b,21797672,166,16,36,1,0,1,36,0,1000,ImageNet-1K,25,layer3.3.conv1,gluon_resnet34_v1b,0.875,resnet
gluon_resnet50_v1b,25557032,217,16,53,1,16,1,53,0,1000,ImageNet-1K,34,layer3.2.conv2,gluon_resnet50_v1b,0.875,resnet
gluon_resnet50_v1c,25576264,224,16,55,1,16,1,55,0,1000,ImageNet-1K,36,layer3.2.conv2,gluon_resnet50_v1c,0.875,resnet
gluon_resnet50_v1d,25576264,228,16,55,1,16,4,55,0,1000,ImageNet-1K,29,layer3.0.conv2,gluon_resnet50_v1d,0.875,resnet
gluon_resnet50_v1s,25680808,224,16,55,1,16,1,55,0,1000,ImageNet-1K,36,layer3.2.conv2,gluon_resnet50_v1s,0.875,resnet
gluon_resnet101_v1b,44549160,421,33,104,1,33,1,104,0,1000,ImageNet-1K,49,layer3.7.conv2,gluon_resnet101_v1b,0.875,resnet
gluon_resnet101_v1c,44568392,428,33,106,1,33,1,106,0,1000,ImageNet-1K,51,layer3.7.conv2,gluon_resnet101_v1c,0.875,resnet
gluon_resnet101_v1d,44568392,432,33,106,1,33,4,106,0,1000,ImageNet-1K,42,layer3.4.conv2,gluon_resnet101_v1d,0.875,resnet
gluon_resnet101_v1s,44672936,428,33,106,1,33,1,106,0,1000,ImageNet-1K,51,layer3.7.conv2,gluon_resnet101_v1s,0.875,resnet
gluon_resnet152_v1b,60192808,625,50,155,1,50,1,155,0,1000,ImageNet-1K,67,layer3.9.conv2,gluon_resnet152_v1b,0.875,resnet
gluon_resnet152_v1c,60212040,632,50,157,1,50,1,157,0,1000,ImageNet-1K,69,layer3.9.conv2,gluon_resnet152_v1c,0.875,resnet
gluon_resnet152_v1d,60212040,636,50,157,1,50,4,157,0,1000,ImageNet-1K,60,layer3.6.conv2,gluon_resnet152_v1d,0.875,resnet
gluon_resnet152_v1s,60316584,632,50,157,1,50,1,157,0,1000,ImageNet-1K,69,layer3.9.conv2,gluon_resnet152_v1s,0.875,resnet
gluon_resnext50_32x4d,25028904,217,16,53,1,16,1,53,0,1000,ImageNet-1K,34,layer3.2.conv2,gluon_resnext50_32x4d,0.875,resnext
gluon_resnext101_32x4d,44177704,421,33,104,1,33,1,104,0,1000,ImageNet-1K,49,layer3.7.conv2,gluon_resnext101_32x4d,0.875,resnext
gluon_resnext101_64x4d,83455272,421,33,104,1,33,1,104,0,1000,ImageNet-1K,49,layer3.7.conv2,gluon_resnext101_64x4d,0.875,resnext
gluon_senet154,115088984,932,50,257,1,50,1,157,0,1000,ImageNet-1K,109,layer3.9.conv2,gluon_senet154,0.875,senet
gluon_seresnext50_32x4d,27559896,313,16,85,1,16,1,53,0,1000,ImageNet-1K,52,layer3.2.conv2,gluon_seresnext50_32x4d,0.875,resnext
gluon_seresnext101_32x4d,48955416,619,33,170,1,33,1,104,0,1000,ImageNet-1K,77,layer3.7.conv2,gluon_seresnext101_32x4d,0.875,resnext
gluon_seresnext101_64x4d,88232984,619,33,170,1,33,1,104,0,1000,ImageNet-1K,77,layer3.7.conv2,gluon_seresnext101_64x4d,0.875,resnext
gluon_xception65,39916312,442,0,132,1,0,0,132,0,1000,ImageNet-1K,52,mid.block8.rep.conv3.conv_dw,gluon_xception65,0.903,xception
gmixer_24_224,24721096,391,0,1,97,0,0,49,0,1000,ImageNet-1K,1,stem.proj,gmixer_24_224,0.875,mixer
gmlp_s16_224,19422656,367,0,1,91,0,0,61,0,1000,ImageNet-1K,1,stem.proj,gmlp_s16_224,0.875,gm
halo2botnet50ts_256,22635360,402,0,60,1,11,0,55,0,1000,ImageNet-1K,38,stages.2.2.conv2_kxk.conv,halo2botnet50ts_256,0.95,botnet
halonet26t,12480288,225,0,34,1,5,1,31,0,1000,ImageNet-1K,10,stages.0.1.conv2_kxk.conv,halonet26t,0.95,halonet
halonet50ts,22733280,403,0,60,1,11,1,55,0,1000,ImageNet-1K,38,stages.2.2.conv2_kxk.conv,halonet50ts,0.94,halonet
haloregnetz_b,11680072,592,0,107,1,17,1,68,0,1000,ImageNet-1K,33,stages.1.4.conv2_kxk.conv,haloregnetz_b,0.94,regnet
hardcorenas_a,5260232,219,0,51,1,0,0,34,0,1000,ImageNet-1K,21,blocks.3.0.conv_dw,hardcorenas_a,0.875,hardcorenas
hardcorenas_b,5176544,308,0,64,1,0,0,55,0,1000,ImageNet-1K,25,blocks.3.0.conv_dw,hardcorenas_b,0.875,hardcorenas
hardcorenas_c,5521224,316,0,68,1,0,0,55,0,1000,ImageNet-1K,25,blocks.3.0.conv_dw,hardcorenas_c,0.875,hardcorenas
hardcorenas_d,7500208,360,0,90,1,0,0,55,0,1000,ImageNet-1K,40,blocks.3.2.conv_dw,hardcorenas_d,0.875,hardcorenas
hardcorenas_e,8070992,341,0,85,1,0,0,52,0,1000,ImageNet-1K,40,blocks.3.1.conv_dw,hardcorenas_e,0.875,hardcorenas
hardcorenas_f,8199688,341,0,85,1,0,0,52,0,1000,ImageNet-1K,30,blocks.3.1.conv_dw,hardcorenas_f,0.875,hardcorenas
hrnet_w18,21299004,1533,112,325,1,8,0,325,0,1000,ImageNet-1K,311,incre_modules.1.0.conv2,hrnet_w18,0.875,hrnet
hrnet_w18_small,13187464,440,23,91,1,5,0,91,0,1000,ImageNet-1K,77,incre_modules.1.0.conv2,hrnet_w18_small,0.875,hrnet
hrnet_w18_small_v2,15597464,794,44,164,1,6,0,164,0,1000,ImageNet-1K,150,incre_modules.1.0.conv2,hrnet_w18_small_v2,0.875,hrnet
hrnet_w30,37712220,1533,112,325,1,8,0,325,0,1000,ImageNet-1K,311,incre_modules.1.0.conv2,hrnet_w30,0.875,hrnet
hrnet_w32,41232680,1533,112,325,1,8,0,325,0,1000,ImageNet-1K,311,incre_modules.1.0.conv2,hrnet_w32,0.875,hrnet
hrnet_w40,57557160,1533,112,325,1,8,0,325,0,1000,ImageNet-1K,311,incre_modules.1.0.conv2,hrnet_w40,0.875,hrnet
hrnet_w44,67064984,1533,112,325,1,8,0,325,0,1000,ImageNet-1K,311,incre_modules.1.0.conv2,hrnet_w44,0.875,hrnet
hrnet_w48,77469864,1533,112,325,1,8,0,325,0,1000,ImageNet-1K,311,incre_modules.1.0.conv2,hrnet_w48,0.875,hrnet
hrnet_w64,128059944,1533,112,325,1,8,0,325,0,1000,ImageNet-1K,311,incre_modules.1.0.conv2,hrnet_w64,0.875,hrnet
