Model,Parameters,Layers,Residual Blocks,Conv Layers,Dense Layers,Bottlenecks,Pooling Layers,Normalization Layers,Recurrent Layers,Output Features,Training Dataset,RF25 Layer Number,RF25 Layer Name,Architecture,Crop Percentage,Family
regnety_080,39180068,458,17,90,1,17,0,56,0,1000,ImageNet-1K,46,s3.b3.conv2.conv,regnety_080,1.0,regnet
regnety_120,51822544,508,19,100,1,19,0,62,0,1000,ImageNet-1K,51,s3.b3.conv2.conv,regnety_120,0.875,regnet
regnety_160,83590140,483,18,95,1,18,0,59,0,1000,ImageNet-1K,46,s3.b3.conv2.conv,regnety_160,1.0,regnet
regnety_320,145046770,533,20,105,1,20,0,65,0,1000,ImageNet-1K,51,s3.b3.conv2.conv,regnety_320,0.875,regnet
regnetz_040,27116800,713,28,141,1,28,0,85,0,1000,ImageNet-1K,58,s3.b4.conv2.conv,regnetz_040,1.0,regnet
regnetz_040h,28938880,717,28,142,1,28,0,86,0,1000,ImageNet-1K,58,s3.b4.conv2.conv,regnetz_040h,1.0,regnet
regnetz_b16,9715480,612,0,112,1,22,0,68,0,1000,ImageNet-1K,48,stages.2.1.conv2_kxk.conv,regnetz_b16,0.94,regnet
regnetz_c16,13459880,612,0,112,1,22,0,68,0,1000,ImageNet-1K,48,stages.2.1.conv2_kxk.conv,regnetz_c16,0.94,regnet
regnetz_c16_evos,13487816,476,0,112,1,22,0,0,0,1000,ImageNet-1K,48,stages.2.1.conv2_kxk.conv,regnetz_c16_evos,0.95,regnet
regnetz_d8,23373792,678,0,124,1,24,0,76,0,1000,ImageNet-1K,55,stages.2.1.conv2_kxk.conv,regnetz_d8,1.0,regnet
regnetz_d8_evos,23464296,526,0,124,1,24,0,0,0,1000,ImageNet-1K,55,stages.2.1.conv2_kxk.conv,regnetz_d8_evos,0.95,regnet
regnetz_d32,27576288,678,0,124,1,24,0,76,0,1000,ImageNet-1K,55,stages.2.1.conv2_kxk.conv,regnetz_d32,0.95,regnet
regnetz_e8,57698176,839,0,154,1,30,0,94,0,1000,ImageNet-1K,65,stages.2.1.conv2_kxk.conv,regnetz_e8,1.0,regnet
repvgg_a2,28210600,372,0,44,1,0,0,61,0,1000,ImageNet-1K,21,stages.2.3.conv_kxk.conv,repvgg_a2,0.875,vgg
repvgg_b0,15817960,474,0,56,1,0,0,79,0,1000,ImageNet-1K,29,stages.2.3.conv_kxk.conv,repvgg_b0,0.875,vgg
