Last Layer Parameters,Layers,Attention Layers,Crop Percentage,Bottlenecks,Residual Blocks,Origin,First Layer Parameters,Family,Training Dataset,Pooling Layers,Normalization Layers,Output Features,Conv Layers,Recurrent Layers,Lowest Internal Layer Parameters,MAX RF,Architecture,Highest Internal Layer Parameters,Max RF,RF25 Layer Number,Model,Parameters,RF25 Layer Name,Dense Layers,Has Convolutional Layers,Has Residual Blocks,Has Dense Layers,Has Bottlenecks,Has Recurrent Layers,Has Skip Connections,Has Attention Layers,Tokenized,Transformer,Has ReLU,Has GeLU,Other,Year Made,Learning Type,Primary Application,Key Distinguishing Feature,Pooling Type
,147.4,0.0,,0.0,90.0,keras,,resnet,ImageNet-1K,3.0,278.0,1000,458.0,0.0,,,,,,,resnet-rs-270,130.10452,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
,189.0,0.0,,0.0,116.0,keras,,resnet,ImageNet-1K,3.0,356.0,1000,588.0,0.0,,,,,,,resnet-rs-350,164.26836,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
,225.8,0.0,,0.0,139.0,keras,,resnet,ImageNet-1K,3.0,425.0,1000,703.0,0.0,,,,,,,resnet-rs-420,192.262216,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
,27.4,0.0,,0.0,16.0,keras,,resnet,ImageNet-1K,3.0,56.0,1000,88.0,0.0,,,,,,,resnet-rs-50,35.745288,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
,37.9,0.0,,0.0,33.0,keras,,resnet,ImageNet-1K,4.0,100.0,1000,104.0,0.0,,,,,,,resnet101v2,44.67556,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
,56.6,0.0,,0.0,50.0,keras,,resnet,ImageNet-1K,4.0,151.0,1000,155.0,0.0,,,,,,,resnet152v2,60.380648,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
,19.2,0.0,,0.0,16.0,keras,,resnet,ImageNet-1K,4.0,49.0,1000,53.0,0.0,,,,,,,resnet50v2,25.6138,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
,7.3,0.0,,0.0,0.0,pytorch,,unet,https://www.kaggle.com/datasets/mateuszbuda/lgg-mri-segmentation,4.0,18.0,1,19.0,0.0,,1,,,,1,brain-segmentation-pytorch,7.763041,conv,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,Image Segmentation,U-shaped Architecture for Segmentation,Max
,0.2,,,,,tfhub,,vgg,COCO,,,512,,,,,,,,,vgg19-block5-conv2-unpooling-encoder,15.304768,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2014.0,Supervised,Image Classification,Deep Architecture with 11 Layers,Max
,0.2,,,,,tfhub,,vgg,COCO,,,512,,,,,,,,,vgg19-block4-conv2-unpooling-encoder,5.865536,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2014.0,Supervised,Image Classification,Deep Architecture with 11 Layers,Max
